Name,,Tm,R,RBI,SB,CS,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,PA
,Age,,,,,,,,,,,,,,
Michael Siani*,23,STL,0,0,1,0,0,-100,0,0,0,0,0,0,5
Lenyn Sosa,23,CHW,12,14,0,1,0.571,53,57,3,0,3,1,1,173
Livan Soto*,23,LAA,2,0,0,0,0.639,82,2,0,0,0,0,0,12
Alek Thomas*,23,ARI,51,39,9,1,0.647,75,140,5,4,2,3,1,402
Spencer Torkelson,23,DET,88,94,3,0,0.758,105,270,15,6,0,5,1,684
Brice Turang*,23,MIL,46,34,26,4,0.585,62,121,9,1,3,2,1,448
Miguel Vargas,23,LAD,36,32,3,2,0.672,81,94,1,4,1,4,1,304
Mark Vientos,23,NYM,19,22,1,0,0.62,69,80,5,3,0,2,0,233
Austin Wells*,23,NYY,8,13,0,0,0.742,97,34,3,0,0,1,0,75
Bobby Witt Jr.,23,KCR,97,96,49,15,0.813,120,317,11,4,1,8,1,694
Jacob Young,23,WSN,9,12,13,0,0.658,84,36,2,1,3,0,0,121
Wilyer Abreu*,24,BOS,10,14,3,1,0.862,132,36,0,0,0,0,0,85
Jo Adell,24,LAA,7,6,1,0,0.706,87,26,1,0,0,0,0,62
Nick Allen,24,OAK,29,20,5,1,0.55,58,87,8,1,6,2,0,329
Jacob Amaya,24,MIA,1,2,1,0,0.444,22,2,0,0,0,0,0,9
Miguel Amaya,24,CHC,17,18,0,0,0.688,86,47,2,11,1,1,0,156
Jonathan Araúz#,24,NYM,3,9,0,0,0.491,34,17,1,0,2,0,0,66
Akil Baddoo*,24,DET,40,34,14,3,0.682,86,116,4,0,2,1,2,357
Patrick Bailey#,24,SFG,29,48,1,0,0.644,77,117,8,3,2,1,0,353
Alec Burleson*,24,STL,34,36,3,1,0.691,87,123,13,3,1,2,0,347
Oswaldo Cabrera#,24,NYY,35,29,8,0,0.574,58,89,6,2,3,2,1,330
Luis Campusano,24,SDP,27,30,0,0,0.847,134,80,8,3,0,1,0,174
Dylan Carlson#,24,STL,27,27,3,0,0.651,79,73,4,7,0,3,0,255
Rodolfo Castro#,24,TOT,21,24,1,4,0.618,70,73,4,5,0,1,1,256
Rodolfo Castro#,24,PIT,19,22,1,4,0.672,84,70,4,5,0,1,1,224
Rodolfo Castro#,24,PHI,2,2,0,0,0.256,-27,3,0,0,0,0,0,32
Oscar Colás*,24,CHW,32,19,4,3,0.571,55,77,5,2,2,2,1,263
Oneil Cruz*,24,PIT,7,4,3,0,0.75,107,12,0,0,0,1,0,40
Jonny DeLuca,24,LAD,5,6,1,0,0.74,97,18,0,0,0,0,0,45
Yainer Diaz,24,HOU,51,60,0,0,0.846,128,191,12,5,0,6,0,377
Jeter Downs,24,WSN,4,1,2,0,1.067,207,2,0,0,0,0,0,9
